Tweet-ID,Permalink van Tweet,Tweettekst,tijd,weergaven,interacties,interactieratio,retweets,antwoorden,vind-ik-leuks,clicks op gebruikersprofiel,URL-clicks,clicks op hashtag,uitklappen van details,clicks op permalinks,app-openingen,app-installaties,volgers,Tweet e-mailen,telefoon kiezen,mediaweergaven,media-interacties,uitgelicht weergaven,uitgelicht interacties,uitgelicht interactieratio,uitgelicht retweets,uitgelicht antwoorden,uitgelicht vind-ik-leuks,uitgelicht clicks op gebruikersprofiel,uitgelicht URL-clicks,uitgelicht clicks op hashtag,uitgelicht uitklappen van details,uitgelicht clicks op permalinks,uitgelicht app-openingen,uitgelicht app-installaties,uitgelicht volgers,uitgelicht Tweet e-mailen,uitgelicht telefoon kiezen,uitgelicht mediaweergaven,uitgelicht media-interacties
1.27828E+18,https://twitter.com/NextgardenNL/status/1278283167523315718,"De meeste 'groene' kennis ter wereld vindt u in onze regio. U kunt participeren in een van de #netwerkorganisaties die #kennis, vakmanschap en #business met elkaar verbinden. https://t.co/v9JPzPVcIh",2020-07-01 11:03 +0000,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.29826E+18,https://twitter.com/NextgardenNL/status/1298259614455103489,"Volg jij ons instagram kanaal al? 

Voor een kleurrijke tijdlijn vol met weetjes over NEXTgarden kun je ons ook volgen op instagram: https://t.co/WqgQKhFXc9 https://t.co/POK2EJtX9p",2020-08-25 14:03 +0000,384,21,0.0546875,4,0,4,2,0,0,5,0,0,0,0,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.29681E+18,https://twitter.com/NextgardenNL/status/1296809458782404614,"Jaarlijks wordt in de regio Arnhem-Nijmegen een seminar georganiseerd over actuele zaken die in de tuinbouwsector spelen. Dit jaar  is er gekozen voor een webinar. 

Neem deel aan de interactieve webinar op 3 september 2020 van 15.00 uur tot 16.45 uur ➡️ https://t.co/aFiNtbLexR https://t.co/gRkCZwZk7w",2020-08-21 14:00 +0000,424,10,0.023584906,2,0,2,0,0,0,5,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.29566E+18,https://twitter.com/NextgardenNL/status/1295661983526682624,"NEXTgarden ligt in de regio met de meeste 'groene' kennis ter wereld. Samen willen wij ervoor zorgen dat de tuinbouw binnen NEXTgarden is voorbereid op de toekomst. 

Lees  meer over onze projecten! 
https://t.co/IcXTa34sCJ

Foto: NEXTgarden Ingredient Farm met LED verlichting. https://t.co/fYYvymiHl6",2020-08-18 10:01 +0000,266,3,0.011278195,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.29095E+18,https://twitter.com/NextgardenNL/status/1290954479219736577,"Kijk je mee met een video van Pioenrozenkwekerij Braam - van de Pas? 

Op deze zonnige dag kijken we terug naar het pioenrozenseizoen 🌷🌹🌸

Veel kijkplezier! https://t.co/b5qABJNCjc",2020-08-05 10:15 +0000,423,24,0.056737589,4,0,1,1,0,0,13,0,0,0,0,0,0,59,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.31124E+18,https://twitter.com/NextgardenNL/status/1311236861642317824,"In glastuinbouwgebied NEXTgarden in @LingewaardGem zijn veel mooie bedrijven gevestigd. Samen zorgen wij ervoor dat de tuinbouw binnen NEXTgarden is voorbereid op de toekomst.

Kijk mee in de nieuwe kas van @KarmaPlantsNL 🌱
Meer info over NEXTgarden? https://t.co/dC1VEpGzO3 https://t.co/L02sBfparJ",2020-09-30 09:30 +0000,408,25,0.06127451,4,0,3,0,0,0,13,0,0,0,0,0,0,57,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.30187E+18,https://twitter.com/NextgardenNL/status/1301869272399052801,"NEXTgarden is trots op de #ondernemers die zich vestigen is het #glastuinbouwgebied. 

Neem een kijkje in de kas van Hofstede Hovaria! 🍃

Wil je meer weten over #tuinbouwgebied NEXTgarden? Alle informatie staat op onze website: https://t.co/YykC5J5177 https://t.co/0MPxd8fle9",2020-09-04 13:06 +0000,557,11,0.019748654,4,0,2,0,1,0,0,0,0,0,0,0,0,71,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.32221E+18,https://twitter.com/NextgardenNL/status/1322207060734418944,"In hét Ondernemersbelang (@HOB_nl) staat een interview over de energiedoelen van gemeente Lingewaard met wethouder duurzaamheid Aart Slob. 

Lees hier het hele interview: https://t.co/ujp3jgHcj8 https://t.co/I5u1etUl0i",2020-10-30 16:01 +0000,525,15,0.028571429,2,0,4,0,1,0,2,0,0,0,0,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.32218E+18,https://twitter.com/NextgardenNL/status/1322176468529647619,"Kijk mee met de video voor meer informatie! 
https://t.co/XAOXcuAc4z 

#EURegionsWeek #ThinkEastNL #SmartFoodProduction #ClimateNeutralandCircularFoodProduction",2020-10-30 14:00 +0000,207,14,0.06763285,2,0,3,0,7,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.32218E+18,https://twitter.com/NextgardenNL/status/1322176466776432640,"@LingewaardGem en @provgelderland werken samen met onder meer  @IFTechnology en @TNO_nieuws om diepe warmte-opslag te onderzoeken.

De boring wordt uitgevoerd door #DeRuiter #Grondwatertechniek.",2020-10-30 14:00 +0000,154,6,0.038961039,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.32185E+18,https://twitter.com/NextgardenNL/status/1321845885043679232,"Het einde van het hortensia seizoen nadert... Koop nu de snijhortensia bij de teler of bloemist! 🌸

Bekijk de kleurrijke video van Kwekerij Zeestraten - Freesia en Hortensia. https://t.co/YIGkwgXI60",2020-10-29 16:06 +0000,240,22,0.091666667,2,0,3,2,0,0,9,0,0,0,0,0,0,46,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
