statnaam,aantal,Datum,inwoneraantal,
Hendrik-Ido-Ambacht,0,28/02/2020,31249,
Stede Broec,0,28/02/2020,21685,
Hillegom,0,28/02/2020,22208,
Katwijk,0,28/02/2020,65816,
Krimpen aan den IJssel,0,28/02/2020,29532,
Leiden,0,28/02/2020,125066,
Leiderdorp,0,28/02/2020,27072,
Lisse,0,28/02/2020,23012,
Maassluis,0,28/02/2020,33258,
Nieuwkoop,0,28/02/2020,28860,
Noordwijk,0,28/02/2020,43586,
Oegstgeest,0,28/02/2020,24852,
Oudewater,0,28/02/2020,10226,
Papendrecht,0,28/02/2020,32151,
Ridderkerk,0,28/02/2020,46341,
Rotterdam,0,28/02/2020,652361,
Rijswijk,0,28/02/2020,54619,
Schiedam,0,28/02/2020,78842,
Sliedrecht,0,28/02/2020,25232,
Albrandswaard,0,28/02/2020,25696,
Westvoorne,0,28/02/2020,14730,
Vlaardingen,0,28/02/2020,73539,
Voorschoten,0,28/02/2020,25612,
Waddinxveen,0,28/02/2020,29365,
Wassenaar,0,28/02/2020,26273,
Woerden,0,28/02/2020,52359,
Zoetermeer,0,28/02/2020,125266,
Zoeterwoude,0,28/02/2020,8647,
Zwijndrecht,0,28/02/2020,44695,
Borsele,0,28/02/2020,22732,
Goes,0,28/02/2020,38174,
West Maas en Waal,0,28/02/2020,63376,
Hulst,0,28/02/2020,27601,
Kapelle,0,28/02/2020,12698,
Middelburg,0,28/02/2020,48802,
Reimerswaal,0,28/02/2020,22714,
Terneuzen,0,28/02/2020,54384,
Tholen,0,28/02/2020,25784,
Veere,0,28/02/2020,21907,
Vlissingen,0,28/02/2020,44339,
De Ronde Venen,0,28/02/2020,24317,
Tytsjerksteradiel,0,28/02/2020,32069,
Asten,0,28/02/2020,16734,
Baarle-Nassau,0,28/02/2020,6867,
Bergen op Zoom,0,28/02/2020,67589,
Best,0,28/02/2020,29997,
Boekel,0,28/02/2020,10783,
Boxmeer,0,28/02/2020,29384,
Boxtel,0,28/02/2020,30807,
Breda,0,28/02/2020,184187,
Deurne,0,28/02/2020,32455,
Pekela,0,28/02/2020,12196,
Dongen,0,28/02/2020,26274,
Eersel,0,28/02/2020,19328,
Eindhoven,0,28/02/2020,234849,
Etten-Leur,0,28/02/2020,43877,
Geertruidenberg,0,28/02/2020,21568,
Gilze en Rijen,0,28/02/2020,26510,
Goirle,0,28/02/2020,23906,
Grave,0,28/02/2020,12457,
Haaren,0,28/02/2020,14364,
Helmond,0,28/02/2020,92312,
's-Hertogenbosch,0,28/02/2020,155381,
Heusden,0,28/02/2020,44709,
Hilvarenbeek,0,28/02/2020,15515,
Loon op Zand,0,28/02/2020,23432,
Mill en Sint Hubert,0,28/02/2020,10945,
"Nuenen, Gerwen en Nederwetten",0,28/02/2020,23372,
Oirschot,0,28/02/2020,18733,
Oisterwijk,0,28/02/2020,26283,
Oosterhout,0,28/02/2020,56052,
Oss,0,28/02/2020,91998,
Rucphen,0,28/02/2020,22900,
Sint-Michielsgestel,0,28/02/2020,29266,
Someren,0,28/02/2020,19362,
Son en Breugel,0,28/02/2020,17329,
Steenbergen,0,28/02/2020,24464,
