Samengevoegde statistieken over de interactiefrequentie voor spontane en gesponsorde updates. De datum geeft aan wanneer de updates werden bekeken door LinkedIn-leden. De gegevens lopen maximaal 2 dagen achter. Alle datums en tijden worden weergegeven in UTC.,,,,,,,,,,,,,,,,,,,
Datum,Weergaven (spontaan),Weergaven (gesponsord),Weergaven (totaal),Unieke weergaven (spontaan),Klikken (spontaan),Klikken (gesponsord),Klikken (totaal),Reacties (spontaan),Reacties (gesponsord),Reacties (totaal),Commentaren (spontaan),Commentaren (gesponsord),Commentaren (totaal),Gedeeld (spontaan),Gedeeld (gesponsord),Gedeeld (totaal),Interactiefrequentie (spontaan),Interactiefrequentie (gesponsord),Interactiefrequentie (totaal)
08/31/2020,37,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2020,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2020,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2020,18,0,18,7,0,0,0,1,0,1,0,0,0,1,0,1,0.111111111,0,0.111111111
09/04/2020,71,0,71,47,2,0,2,3,0,3,0,0,0,0,0,0,0.070422535,0,0.070422535
09/05/2020,30,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/06/2020,31,0,31,16,0,0,0,1,0,1,0,0,0,0,0,0,0.032258065,0,0.032258065
09/07/2020,42,0,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/08/2020,18,0,18,11,1,0,1,1,0,1,0,0,0,0,0,0,0.111111111,0,0.111111111
09/09/2020,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/10/2020,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/11/2020,6,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667
09/12/2020,9,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/13/2020,12,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/14/2020,9,0,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0.111111111,0,0.111111111
09/15/2020,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/16/2020,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/17/2020,29,0,29,5,2,0,2,0,0,0,0,0,0,0,0,0,0.068965517,0,0.068965517
09/18/2020,9,0,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0.111111111,0,0.111111111
09/19/2020,5,0,5,2,1,0,1,1,0,1,0,0,0,0,0,0,0.4,0,0.4
09/20/2020,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/21/2020,13,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/22/2020,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/23/2020,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/24/2020,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/25/2020,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27/2020,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/28/2020,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/29/2020,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/30/2020,111,0,111,70,2,0,2,10,0,10,0,0,0,1,0,1,0.117117117,0,0.117117117
10/01/2020,20,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2020,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2020,106,0,106,57,1,0,1,3,0,3,0,0,0,0,0,0,0.037735849,0,0.037735849
10/04/2020,54,0,54,33,5,0,5,2,0,2,0,0,0,0,0,0,0.12962963,0,0.12962963
10/05/2020,137,0,137,105,3,0,3,5,0,5,0,0,0,2,0,2,0.072992701,0,0.072992701
10/06/2020,206,0,206,120,10,0,10,5,0,5,0,0,0,0,0,0,0.072815534,0,0.072815534
10/07/2020,140,0,140,101,4,0,4,5,0,5,0,0,0,1,0,1,0.071428571,0,0.071428571
10/08/2020,51,0,51,36,1,0,1,0,0,0,0,0,0,0,0,0,0.019607843,0,0.019607843
10/09/2020,121,0,121,75,2,0,2,7,0,7,0,0,0,1,0,1,0.082644628,0,0.082644628
10/10/2020,43,0,43,28,0,0,0,2,0,2,0,0,0,2,0,2,0.093023256,0,0.093023256
10/11/2020,28,0,28,14,3,0,3,2,0,2,0,0,0,0,0,0,0.178571429,0,0.178571429
10/12/2020,186,0,186,117,21,0,21,12,0,12,0,0,0,1,0,1,0.182795699,0,0.182795699
10/13/2020,205,0,205,140,17,0,17,9,0,9,0,0,0,0,0,0,0.126829268,0,0.126829268
10/14/2020,243,0,243,149,17,0,17,4,0,4,2,0,2,0,0,0,0.094650206,0,0.094650206
10/15/2020,292,0,292,138,13,0,13,4,0,4,0,0,0,0,0,0,0.058219178,0,0.058219178
10/16/2020,211,0,211,103,24,0,24,4,0,4,0,0,0,0,0,0,0.132701422,0,0.132701422
10/17/2020,201,0,201,127,14,0,14,2,0,2,0,0,0,0,0,0,0.07960199,0,0.07960199
10/18/2020,131,0,131,92,4,0,4,2,0,2,0,0,0,0,0,0,0.045801527,0,0.045801527
10/19/2020,267,0,267,188,6,0,6,8,0,8,0,0,0,0,0,0,0.052434457,0,0.052434457
10/20/2020,102,0,102,74,4,0,4,2,0,2,0,0,0,0,0,0,0.058823529,0,0.058823529
10/21/2020,57,0,57,36,3,0,3,1,0,1,0,0,0,0,0,0,0.070175439,0,0.070175439
10/22/2020,95,0,95,51,1,0,1,4,0,4,0,0,0,0,0,0,0.052631579,0,0.052631579
10/23/2020,85,0,85,46,0,0,0,2,0,2,0,0,0,1,0,1,0.035294118,0,0.035294118
10/24/2020,32,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2020,32,0,32,17,2,0,2,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625
10/26/2020,138,0,138,109,4,0,4,7,0,7,0,0,0,0,0,0,0.079710145,0,0.079710145
10/27/2020,120,0,120,71,3,0,3,1,0,1,0,0,0,0,0,0,0.033333333,0,0.033333333
10/28/2020,130,0,130,88,4,0,4,5,0,5,0,0,0,0,0,0,0.069230769,0,0.069230769
10/29/2020,145,0,145,73,1,0,1,4,0,4,-1,0,-1,1,0,1,0.034482759,0,0.034482759
10/30/2020,356,0,356,143,21,0,21,28,0,28,1,0,1,4,0,4,0.151685393,0,0.151685393
10/31/2020,116,0,116,66,18,0,18,4,0,4,0,0,0,0,0,0,0.189655172,0,0.189655172
